Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
1,2024-03-19 00:00:00,Adventure Select Screen,User clicked on the Adventures button from the main menu options.,User is able to click on the icons and buttons present on the screen.,"Nothing happens when user clicks on the Book and House icons in the upper right corner, or on the Deck Builder button in the lower left corner.",Yes,No,Yana Zaynullina
2,2024-03-19 00:00:00,Adventure Select Screen,User clicked on the Adventures button from the main menu options.,User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Back button to return to the main menu.,Yes,Yes,Yana Zaynullina
3,2024-03-19 00:00:00,Adventure Select Screen,"User clicked on the Adventures button from the main menu options. Once there, user clicks on one of the level selection bubbles on the map to start the adventure. It opens another sliding screen from the right.",User is able to click on the icons and buttons present on the screen.,Nothing happens when user clicks on the Play button to start the adventure.,Yes,Yes,Yana Zaynullina
4,2024-03-19 00:00:00,Main Page | Settings,User clicked on the Settings button from the main menu. It opened a new pop-up screen in the middle of the screen with settings.,User is able to close the window by clicking on the X button.,Nothing happens when user clicks on the X button.,Yes,No,Yana Zaynullina
0,2024-03-20 00:00:00,Settings,Bug Case: The X widget in Settings is not responsive,Properly highlight where to click,Highlight is offset slightly,Yes,No,Inderjit Singh
1,2024-03-20 00:00:00,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
2,2024-03-20 00:00:00,Leaderboards,Bug Case: Search bar is not working and X doesn’t work,Search bar should search players and X should clear the search bar,The bar does not search players and cannot click the X to clear the search bar,Yes,No,Inderjit Singh
3,2024-03-20 00:00:00,Leaderboards,User Case: Text is blocked from other information,Text should be clear to read,Text is blocked and overlapping so you cannot read the information listed in leaderboard,Yes,No,Inderjit Singh
4,2024-03-20 00:00:00,Friends list,Bug Case: Search bar and X doesn't work,Search bar should search players and X should clear the search bar,The bar does not search players and cannot click the X to clear the search bar,Yes,No,Inderjit Singh
1,2024-03-16 00:00:00,Arena match,Bug: says match but timer is stucknothing happens,Match startes,The arena page comes up but the timer is stuck,Yes,Yes,Mimi Truong
2,2024-03-16 00:00:00,Adventure select,Bug: Play button doesn’t work,start the advencture,nothing happens,Yes,yes,Mimi Truong
3,2024-03-16 00:00:00,Adventure select,Bug: back button doesn’t work,Back button goes back to home page,nothing happens now I have to refresh and authenticate everything all over again :(,Yes,Yes,Mimi Truong
4,2024-03-16 00:00:00,Arena match,bug: Timer froze at 66,timer continues till player is done with turn,timer froze and now cant do anything,Yes,Yes,Mimi Truong
5,2024-03-16 00:00:00,Arena match,Bug: volume keys for setting on a match doesnot work,volume mute or higher,nothing after shows that volume should be muted,Yes,no,Mimi Truong
1,2024-03-19 00:00:00,Playing the game,Bug,I expect to be able to attack my opponenect at the proper phase,The game skips over phases and does not allow me to attack my opponent,Yes,No,Mirna Farahat
2,2024-03-19 00:00:00,Tutorial,Bug,I expect to be able to go through the tutorial and finish a complete turn,The tutorial froze and was not allowing me to draw any cards,Yes,No,Mirna Farahat
3,2024-03-19 00:00:00,Tutorial,User Case,I expect clear instructions and guidance on how to properly play the game,The tutorial does not provide clear step-by-step instructions on how to properly play the game,Yes,No,Mirna Farahat
4,2024-03-19 00:00:00,Accessing the game,Bug,"I expect that when I click on ""Arena"" I can start playing the game.","When I click ""Arena"" there is a dim screen displayed that does not display any additional ""features"" of the game.",Yes,Yes,Mirna Farahat
4,2024-03-18 00:00:00,Adventure Select,Home icon on top right does nothing,To go back to main menu,Nothing happened,Yes,Yes,Artim Trofimenko
4,2024-03-18 00:00:00,Enders Game Leaderboard,"After typing a name to search on the bottom left, clicking the ""x"" to clear it, dosent clear it",For the name to clear,Name didnt clear,Yes,No,Artim Trofimenko
4,2024-03-18 00:00:00,Online friends (main menu),"When typing a name onto the search bar, clicking the ""x"" to clear it, dosent clear it",For the name to clear,Name didnt clear,Yes,No,Artim Trofimenko
4,2024-03-18 00:00:00,Adventure Select,The bookmark icon on the top right does nothing,To see my bookmarks,Nothing happened,Yes,No,Artim Trofimenko
0,2024-03-19 00:00:00,Gameplay Tutorial,"Bug: After clicking the cards when it was not my turn, a black overlay appeared and did not close so I was unable to click the draw card button",I expected the draw button to be clickable when I was required to click it,A black overlay appeared after clicking on cards and their options when it was not my turn and I was unable to click the draw button to progress the tutorial,Yes,Yes,Katrina Ortiz
1,2024-03-19 00:00:00,Deck Builder Tutorial,"Bug: If you click on NFTs section and then attempt to complete the task where you need to add 20 Guardians to the deck but don't have enough cards, you cannot exit out to pick the other section ""Free to Use"" to be able to add more cards","I expected to be able to exit out of the NFTs section to navigate to the ""Free to Use"" section to add more cards","Since there were not enough cards in the NFTs section of the Deck Builder Tutorial when adding cards to my deck, I was unable to exit and navigate to the ""Free to Use"" section and progress the tutorial",Yes,Yes,Katrina Ortiz
2,2024-03-19 00:00:00,Deck Builder Tutorial,Bug: There is no way to exit the Deck Builder Tutorial,I expected there to be a way to exit the Deck Builder Tutorial like there is for the Gameplay Tutorial,There is no way to exit the Deck Builder Tutorial and a refresh is required to get out,Yes,Yes,Katrina Ortiz
3,2024-03-19 00:00:00,Leaderboard,Bug: The statistics for the rankings wraps and overlaps the labels at the bottom of the leaderboard,I expected the text and statistics to be formatted where they do not overlap,The statistics for the rankings overlaps the text labels at the bottom of the leaderboard,Yes,No,Katrina Ortiz
4,2024-03-19 00:00:00,Leaderboard,"Bug: Since the Wins and Losses are already labelled, I do not think we need the ""W"" or ""L"" after the number",The information presented is concise,"Since the Wins and Losses are already labelled, the ""W"" and ""L"" after the number is redunant",Yes,No,Katrina Ortiz
5,2024-03-19 00:00:00,Leaderboard,Bug: The numbers are inconsistently spaced for the information at the bottom of the Leaderboard,I expected the numbers to be spaced consistently,"The numbers are spaced inconsistently in the fields that are presented at the bottom of the Leaderboard (i.e. The number after the colon after ""Level"" has a space while the numbers after ""Wins"" and ""Losses"" do not)",Yes,No,Katrina Ortiz
6,2024-03-19 00:00:00,Leaderboard,"Bug: When you reach page 100, the numbers stack and are not formatted nicely",I expected the page numbers to stay formatted when it reaches 100 and above,The page numbers start not formatting correctly when it reaches 100 and above,Yes,No,Katrina Ortiz
7,2024-03-19 00:00:00,Leaderboard,Bug: The button to clear the search field does not clear the search input field,I expected the button to clear the search input field to actually clear the input field when pressed,The button to clear the search input field did not clear the input field when pressed,Yes,No,Katrina Ortiz
8,2024-03-19 00:00:00,Settings,Bug: Changing the language from English to another language only changes some text to that selected language but not all text,I expected all English text to change to the selected language,"Some text stayed English even when the language was changed (i.e. The options in the Settings changed to the selected language but the title ""Settings"" remained in English)",Yes,No,Katrina Ortiz
9,2024-03-19 00:00:00,Settings,"Bug: The default volumes were set at 60 initially but when the ""Reset to default"" button was clicked, the new default was 50","I expected the volume options presets to be the same default (60) initially and when the ""Reset to default"" was pressed","The volume presets were 60 initially and then changed to 50 when the ""Reset to default"" button was pressed",Yes,No,Katrina Ortiz
10,2024-03-19 00:00:00,Arena,"Bug: The numbers after the word ""Gold"" when viewing a card's details are not spaced after the colon",I expected the numbers to be spaced consistently,"The numbers after the colon in the word ""Gold"" are not spaced",Yes,No,Katrina Ortiz
0,2024-03-17 00:00:00,Game/Main Page,The buttons do not respond in adventure select.,Clicking a button should perform the indicated task.,Clicking on a button does not result in any action.,Yes,Yes,Raymond Gharapeti Babayans
1,2024-03-18 00:00:00,Game/Main Page,"Unable to add a card in a previously created deck in deck builder, after removing it.",The selected card should be added to the deck.,Clicking on the card does not place it in the deck.,Yes,Yes,Raymond Gharapeti Babayans
2,2024-03-17 00:00:00,Game/Main Page,"In the leadboards section, the rannking labels are overlapped.",each ranking should be displayed clearly without overlapping.,"Rankings are overlapped, making them indiscernible.",Yes,No,Raymond Gharapeti Babayans
1,2024-03-18 00:00:00,UI,Bug: Settings,Close settings tab when hitting the x button,Would not close,Yes,No,Ramon
2,2024-03-18 00:00:00,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Ramon
1,2024-03-18 00:00:00,UI,Bug: Settings,Close settings tab when hitting the x button,Would not close,Yes,No,Kevin Chaja
2,2024-03-18 00:00:00,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Kevin Chaja
1,2024-03-19 00:00:00,Login/UI/Game/Main menu,"Bug?: When you adjust the volume, it won't change until you save but that wasn't the case when you hit default","I was expecting that when you change the options for the game, the volume would adjust accordingly with the sound bar. On the other hand, if the audio doesn't apply until after the user saves, I was expecting the default options to have the same treatment.","When you adjust audio for game in the soundbar, volume doesn't apply until the user saves, but when a user reverts to default, the volume will apply immediately before the user saves option.",Yes,no,Omar Garcia
